Designator,Mid X,Mid Y,Rotation,Layer
C1,49.276,-127.0,180.0,top
C10,97.2,-106.68,180.0,top
C11,148.226,-113.538,180.0,top
C12,104.575,-117.775,90.0,top
C13,137.16,-102.362,0.0,top
C14,151.384,-101.854,180.0,top
C15,169.164,-100.9,180.0,top
C16,163.212,-107.95,180.0,top
C17,167.55,-113.434,180.0,top
C18,163.381587,-119.840586,180.0,top
C19,147.828,-123.698,180.0,top
C2,44.6825,-127.0,180.0,top
C3,54.356,-127.0,0.0,top
C4,62.992,-124.206,180.0,top
C5,62.99,-114.74,180.0,top
C6,154.432,-118.0885,270.0,top
C7,59.182,-101.264,90.0,top
C8,108.712,-99.568,180.0,top
C9,94.549999,-116.3,0.0,top
D1,124.1,-124.625,180.0,top
D10,42.228501,-99.822,0.0,top
D11,167.39,-97.300001,270.0,top
D13,96.00268,-119.780501,270.0,top
D14,155.637499,-124.206,180.0,top
D15,113.03,-110.744,0.0,top
D16,113.1325,-106.73468,180.0,top
D17,154.94,-109.434,270.0,top
D18,82.775,-103.975001,270.0,top
D19,68.0,-102.0,270.0,top
D2,114.39068,-117.6975,270.0,top
D3,136.925,-124.725,180.0,top
D4,119.99091,-117.79341,90.0,top
D5,123.4,-112.175,90.0,top
D6,131.3,-120.875,0.0,top
D7,83.3,-112.125,90.0,top
D8,87.65,-107.575001,270.0,top
D9,172.19,-96.950001,270.0,top
F1,77.216,-105.918,180.0,top
J1,75.505,-101.875,90.0,top
J2,160.53,-97.57,180.0,top
J3,180.695,-112.434,90.0,top
J4,31.041,-115.646,270.0,top
L1,44.4585,-119.406,0.0,top
L2,44.2835,-115.781,0.0,top
Q1,88.1125,-101.400001,0.0,top
Q2,88.392,-119.634,0.0,top
R1,126.0,-121.0,90.0,top
R10,44.6145,-96.52,180.0,top
R11,176.18,-97.05,270.0,top
R12,164.18,-98.6075,270.0,top
R13,73.125,-107.125,270.0,top
R2,125.0,-118.0,270.0,top
R25,120.2525,-111.5,90.0,top
R26,137.414,-110.6545,270.0,top
R27,169.5525,-102.975,180.0,top
R28,157.0,-116.1025,270.0,top
R29,141.224,-112.0,270.0,top
R3,71.7925,-124.138,180.0,top
R30,170.3775,-116.484,180.0,top
R4,71.806,-114.74,180.0,top
R41,44.6085,-123.231,180.0,top
R42,44.3585,-113.156,180.0,top
R5,51.4725,-110.168,180.0,top
R6,54.864,-110.236,0.0,top
R7,131.05,-122.5,0.0,top
R8,42.3285,-102.362,180.0,top
R9,77.216,-109.2025,90.0,top
RV1,123.5,-105.785,180.0,top
U3,131.0,-116.0,270.0,top
